school,c150_4_absolute,c150_4_relative,c150_4_pell_absolute,c150_4_pell_relative,c150_4_black_absolute,c150_4_black_relative,c150_4_hisp_absolute,c150_4_hisp_relative,c150_4_nhpi_absolute,c150_4_nhpi_relative,c150_4_aian_absolute,c150_4_aian_relative,ind_comp_orig_yr4_rt_absolute,ind_comp_orig_yr4_rt_relative,lo_inc_comp_orig_yr4_rt_absolute,lo_inc_comp_orig_yr4_rt_relative,firstgen_comp_orig_yr4_rt_absolute,firstgen_comp_orig_yr4_rt_relative,comp_orig_yr4_rt_absolute,comp_orig_yr4_rt_relative,ind_wdraw_orig_yr3_rt_absolute,ind_wdraw_orig_yr3_rt_relative,lo_inc_wdraw_orig_yr3_rt_absolute,lo_inc_wdraw_orig_yr3_rt_relative,firstgen_wdraw_orig_yr3_rt_absolute,firstgen_wdraw_orig_yr3_rt_relative,cuml_debt_p10_absolute,cuml_debt_p10_relative,cuml_debt_p25_absolute,cuml_debt_p25_relative,cuml_debt_p75_absolute,cuml_debt_p75_relative,cuml_debt_p90_absolute,cuml_debt_p90_relative,pct10_earn_wne_p10_absolute,pct10_earn_wne_p10_relative,pct25_earn_wne_p10_absolute,pct25_earn_wne_p10_relative,pct75_earn_wne_p10_absolute,pct75_earn_wne_p10_relative,pct90_earn_wne_p10_absolute,pct90_earn_wne_p10_relative,pplus_pct_low_absolute,pplus_pct_low_relative,pplus_pct_high_absolute,pplus_pct_high_relative,plus_debt_all_md_absolute,plus_debt_all_md_relative,wdraw_orig_yr3_rt_absolute,wdraw_orig_yr3_rt_relative,c100_4_absolute,c100_4_relative,trans_4_absolute,trans_4_relative,weighted_debt_absolute,weighted_debt_relative,weighted_income_absolute,weighted_income_relative,support_race_absolute,support_race_relative,support_eco_absolute,support_eco_relative
Alabama A & M University,0.10403050108932461,0.11206896551724138,0.13522727272727272,0.1750358680057389,0.26865671641791045,0.2544529262086514,0.1033857315598549,0.09111111111111111,0.001303780964797914,0.002898550724637681,0.0008703220191470844,0.0017543859649122807,0.05964653902798233,0.06570841889117043,0.06483790523690773,0.03810775295663601,0.04719949653870359,0.04918032786885246,0.06749858196256381,0.05157593123209169,0.36153846153846153,0.4525939177101968,0.23554603854389722,0.1875,0.18243243243243243,0.25736738703339884,0.6610854503464203,0.6449704142011834,0.8093101514301738,0.7046783625730995,0.04374649467190129,0.02861230329041488,0.016166281755196306,0.01440922190201729,0.14819277108433734,0.13250517598343686,0.2063758389261745,0.26458036984352773,0.15512465373961218,0.10730253353204174,0.2753012048192771,0.2411467116357504,0.015275504637206765,0.012162162162162163,0.0070921985815602835,0.00392156862745098,0.571900826446281,0.44938271604938274,0.19838523644752018,0.18653576437587657,0.12627406568516422,0.060453400503778336,0.11819172113289761,0.06746987951807229,0.38238916256157635,0.50853889943074,0.13511790949649458,0.13451776649746192,0.9383886255924171,0.9407407407407408,0.6382765531062125,0.6186666666666667
University of Alabama at Birmingham,0.6328976034858388,0.6329866270430906,0.5301136363636364,0.5142857142857142,0.6902985074626866,0.4892601431980907,0.6203143893591294,0.3773148148148148,,,0.6588337684943429,0.5567375886524822,0.33431516936671574,0.40451745379876797,0.5261845386533666,0.48936170212765956,0.3971050975456262,0.4401008827238335,0.40669313669880885,0.4453125,0.40854700854700854,0.3877118644067797,0.43397573162027125,0.3854166666666667,0.3483483483483483,0.3714902807775378,0.565242494226328,0.6484098939929329,0.5939427930454291,0.6094570928196147,0.5361749859786876,0.45549738219895286,0.21593533487297922,0.25872093023255816,0.4783132530120482,0.5018656716417911,0.5268456375838926,0.6344238975817923,0.5778393351800554,0.5386533665835411,0.6180722891566265,0.5481927710843374,0.3447899618112384,0.5314207650273224,0.41298417894162576,0.4869281045751634,0.5118457300275482,0.5443786982248521,0.35813148788927335,0.37988826815642457,0.5379388448471121,0.6322418136020151,0.4188453159041394,0.44357976653696496,0.5572660098522167,0.6,0.5691523263224985,0.6256345177664975,,,0.19138276553106212,0.21261682242990654
Amridge University,0.3017429193899782,0.300148588410104,0.26875,0.38735177865612647,0.2804726368159204,0.35365853658536583,,,,,,,,,,,,,0.02212138400453772,0.0392156862745098,,,0.017844396859386154,0.039603960396039604,,,0.7292147806004619,0.7544169611307421,0.8850252383623107,0.9246935201401051,0.6999439147504206,0.7441253263707572,0.1836027713625866,0.20620842572062084,0.15602409638554218,0.14925373134328357,0.12024608501118568,0.12233285917496443,0.2033240997229917,0.3525423728813559,0.5216867469879518,0.6420824295010846,0.6972176759410802,0.9905405405405405,0.7806873977086743,0.9748803827751196,0.9774104683195592,0.9778911564625851,0.020761245674740483,0.032388663967611336,0.8533408833522084,0.8811881188118812,0.0196078431372549,0.011673151750972763,0.8054187192118226,0.832258064516129,0.17973231357552583,0.474025974025974,,,,
University of Alabama in Huntsville,0.6013071895424836,0.5862068965517241,0.4693181818181818,0.5509325681492109,0.5876865671641791,0.5454545454545454,0.7230955259975816,0.5208333333333334,,,0.7162750217580505,0.6170212765957447,0.3379970544918999,0.2923387096774194,0.26122194513715713,0.3235294117647059,0.22466960352422907,0.25220680958385877,0.24844015882019285,0.2136279926335175,0.6,0.6905187835420393,0.4989293361884368,0.4007029876977153,0.3551051051051051,0.43418467583497056,0.6553117782909931,0.8210332103321033,0.6657319125070107,0.9049360146252285,0.4952327537857543,0.40575916230366493,0.28752886836027713,0.1617161716171617,0.655421686746988,0.5852895148669797,0.616331096196868,0.716927453769559,0.7634349030470914,0.8226527570789866,0.7759036144578313,0.8118948824343015,0.6966721222040371,0.9863387978142076,0.41734860883797054,0.7045454545454546,0.5774104683195592,0.6331360946745562,0.33852364475201846,0.31837307152875177,0.43827859569648925,0.4003139717425432,0.30119825708061004,0.3346303501945525,0.6299261083743842,0.6780487804878049,0.7476099426386233,0.817258883248731,,,0.6342685370741483,0.6355140186915887
Alabama State University,0.10675381263616558,0.05,0.12272727272727273,0.07076923076923076,0.27238805970149255,0.20733652312599682,0.36094316807738813,0.3560606060606061,,,0.18189730200174065,0.094,0.05228276877761414,0.02217741935483871,0.07668329177057356,0.06196213425129088,0.07048458149779736,0.07440100882723834,0.08735110606920023,0.040515653775322284,0.07008547008547009,0.09660107334525939,0.08279800142755175,0.04174573055028463,0.08333333333333333,0.03898635477582846,0.5767898383371824,0.607565011820331,0.6337633202467751,0.6228070175438597,0.04206393718452047,0.0587467362924282,0.03521939953810624,0.04212860310421286,0.18313253012048192,0.11424100156494522,0.11185682326621924,0.10526315789473684,0.07368421052631578,0.044709388971684055,0.05903614457831325,0.03541315345699832,0.07801418439716312,0.12568306010928962,0.06546644844517185,0.0196078431372549,0.4953168044077135,0.6266195524146054,0.104959630911188,0.09957924263674614,0.1160815402038505,0.07378335949764521,0.09041394335511982,0.04578313253012048,0.30357142857142855,0.4250474383301708,0.0497131931166348,0.027777777777777776,,,0.2965931863727455,0.39344262295081966
The University of Alabama,0.80119825708061,0.8053491827637445,0.6022727272727273,0.6814921090387375,0.6996268656716418,0.6810207336523126,0.7388149939540508,0.5509259259259259,0.5658409387222947,0.5718157181571816,0.6649260226283725,0.5780141843971631,0.6671575846833578,0.702258726899384,0.5985037406483791,0.6235294117647059,0.6066708621774701,0.6569987389659521,0.653998865570051,0.6977077363896849,0.5769230769230769,0.6708407871198568,0.7094932191291934,0.6344463971880492,0.7319819819819819,0.6618556701030928,0.35450346420323325,0.5166051660516605,0.4357823892316321,0.6069469835466179,0.4475602916432978,0.27486910994764396,0.4330254041570439,0.31683168316831684,0.672289156626506,0.6040688575899843,0.6868008948545862,0.7667140825035562,0.718005540166205,0.7779433681073026,0.641566265060241,0.6763485477178424,0.3453355155482815,0.4837837837837838,0.2624113475177305,0.46411483253588515,0.06391184573002755,0.09666666666666666,0.7324106113033448,0.7405329593267882,0.6942242355605889,0.6813186813186813,0.40032679738562094,0.4280155642023346,0.44150246305418717,0.5749525616698292,0.7393244104525175,0.8096446700507615,0.12006319115323855,0.10062893081761007,0.041082164328657314,0.053738317757009345
Auburn University at Montgomery,0.1781045751633987,0.0896551724137931,0.17272727272727273,0.10615384615384615,0.3364427860696517,0.34096692111959287,0.12817412333736397,0.07196969696969698,0.2907431551499348,0.10144927536231885,0.4560487380330722,0.432,0.26362297496318116,0.22379032258064516,0.1059850374064838,0.08777969018932874,0.11139081183134046,0.11979823455233292,0.11514463981849121,0.06813996316758748,0.4863247863247863,0.5778175313059034,0.4503925767309065,0.4010416666666667,0.3303303303303303,0.2982456140350877,0.8002309468822171,0.8653846153846154,0.6634885025238362,0.7967836257309941,0.733595064498037,0.7424892703862661,0.24480369515011546,0.23631123919308358,0.3457831325301205,0.3167701863354037,0.25671140939597314,0.3328591749644381,0.26537396121883655,0.22205663189269748,0.19819277108433736,0.22821576763485477,0.3458810692853246,0.5327868852459017,0.40425531914893614,0.6431372549019608,0.912396694214876,0.9259259259259259,0.31718569780853517,0.28751753155680226,0.13873159682899208,0.07304785894206549,0.1187363834422658,0.13618677042801555,0.7530788177339901,0.7983739837398374,0.21924792861695347,0.1962962962962963,0.9652448657187994,0.9787234042553191,0.7565130260521042,0.7173333333333334
Auburn University,0.8916122004357299,0.8945022288261516,0.7880681818181818,0.8780487804878049,0.8308457711442786,0.8516746411483254,0.8603385731559855,0.7337962962962963,0.7157757496740548,0.8888888888888888,0.7606614447345518,0.7056737588652482,0.845360824742268,0.8726899383983573,0.8173316708229427,0.7933130699088146,0.7822529893014475,0.8360655737704918,0.8082813386273398,0.825,0.6957264957264957,0.7889087656529516,0.7773019271948608,0.7223198594024605,0.786036036036036,0.7645788336933045,0.34988452655889146,0.3431952662721893,0.374649467190129,0.38011695906432746,0.5457094784071789,0.48429319371727747,0.4745958429561201,0.5203488372093024,0.7283132530120482,0.672926447574335,0.7941834451901566,0.829302987197724,0.7988919667590028,0.8643815201192251,0.7481927710843373,0.6897590361445783,0.3464266230223677,0.4864864864864865,0.4064375340971086,0.4934640522875817,0.07768595041322314,0.13333333333333333,0.7831603229527105,0.8268156424581006,0.7315968289920725,0.7268445839874411,0.4798474945533769,0.5136186770428015,0.4538177339901478,0.5920303605313093,0.8260038240917782,0.8870558375634517,0.27014218009478674,0.3018867924528302,0.14829659318637275,0.16121495327102803
Birmingham-Southern College,0.7636165577342048,0.7533432392273403,0.6397727272727273,0.5984615384615385,0.7232587064676617,0.8089430894308943,0.658403869407497,0.6311360448807855,,,0.5657093124456049,0.506108202443281,,,0.7749376558603491,0.6880165289256198,0.7728130899937067,0.8221941992433796,0.8071469086783891,0.8234375,,,0.4446823697359029,0.4043062200956938,0.5330330330330331,0.5850622406639004,0.2644341801385681,0.3386880856760375,0.3825014021312395,0.5381026438569206,0.4570947840717891,0.4151436031331593,0.5340646651270208,0.5226860254083484,0.3789156626506024,0.39925373134328357,0.5961968680089486,0.6955903271692745,0.7767313019390581,0.8745762711864407,0.47289156626506024,0.448566610455312,0.265139116202946,0.1965648854961832,0.1773049645390071,0.16833095577746077,0.12837465564738293,0.1896348645465253,0.6211072664359861,0.6409537166900421,0.8335220838052095,0.8165467625899281,0.2875816993464052,0.21686746987951808,0.44273399014778325,0.506578947368421,0.687061822817081,0.7576142131979695,,,,
Faulkner University,0.0457516339869281,0.032327586206896554,0.028977272727272727,0.02295552367288379,0.09950248756218906,0.0935412026726058,0.04232164449818621,0.02,0.3767926988265971,0.38482384823848237,,,0.3961708394698085,0.41366223908918404,0.19576059850374064,0.14060446780551905,0.21774701069855254,0.244640605296343,0.2280204197390811,0.23065902578796563,0.26495726495726496,0.2076271186440678,0.14061384725196288,0.1015625,0.15915915915915915,0.15560165975103735,0.7465357967667436,0.7809187279151943,0.6522714526079642,0.840630472854641,0.585530005608525,0.5822603719599427,0.2523094688221709,0.2558983666061706,0.3759036144578313,0.36853002070393376,0.1907158836689038,0.24182076813655762,0.21329639889196675,0.11845386533665836,0.5469879518072289,0.524451939291737,0.3475177304964539,0.48783783783783785,0.4097108565193672,0.6509803921568628,0.8633608815426997,0.8518518518518519,0.1839677047289504,0.1640953716690042,0.13250283125707815,0.0970464135021097,0.4950980392156863,0.5291828793774319,0.6810344827586207,0.6631259484066768,0.20267686424474188,0.22208121827411167,,,0.405811623246493,0.4106666666666667
