id,instnm,st_fips,region,ccbasic,ccsizset,adm_rate,pplus_pct_low,pplus_pct_high,plus_debt_all_md,c150_4,c100_4,trans_4,c150_4_black,c150_4_hisp,c150_4_nhpi,c150_4_aian,c150_4_pell,ugds_black,ugds_hisp,ugds_aian,ugds_nhpi,ugds,ind_comp_orig_yr4_rt,lo_inc_comp_orig_yr4_rt,firstgen_comp_orig_yr4_rt,comp_orig_yr4_rt,wdraw_orig_yr3_rt,ind_wdraw_orig_yr3_rt,lo_inc_wdraw_orig_yr3_rt,firstgen_wdraw_orig_yr3_rt,cuml_debt_p10,cuml_debt_p25,cuml_debt_p75,cuml_debt_p90,npt41_pub,npt42_pub,npt43_pub,npt44_pub,npt45_pub,npt41_priv,npt42_priv,npt43_priv,npt44_priv,npt45_priv,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
1,Alabama A & M University,1,5,18,14,0.716,25,30,17101,0.2807,0.1121,0.3412,0.2805,0.2222,0,0,0.2797,0.8978,0.0114,0.0027,0.001,5098,0.223684210526,0.197745901639,0.20873015873,0.222366710013,0.295683027794,0.270588235294,0.319361277445,0.313927781872,3381,5500,32208,47750,12177,12300,15508,16707,18857,,,,,,6700,24069,56598,70000
2,University of Alabama at Birmingham,1,5,15,15,0.8854,5,10,18372,0.6245,0.4209,0.1786,0.5565,0.5769,,0.6,0.5074,0.2458,0.0669,0.0021,0.0004,13284,0.39527027027,0.440978077572,0.427501337614,0.454072145779,0.218779639583,0.253227408143,0.247376311844,0.239802779023,3500,6250,26082,37540,13862,15370,16847,18230,20054,,,,,,10900,32627,75896,84000
3,Amridge University,1,5,20,6,,0,5,7772,0.4444,0.6667,0.5556,0.2857,,,,0.375,0.6932,0.0438,0,0.004,251,,,,0.1328125,0.516556291391,,0.532786885246,,3166,4750,24250,38455,,,,,,,,,,,6800,19849,59803,79500
4,University of Alabama in Huntsville,1,5,15,13,0.7367,0,10,17010,0.6072,0.3528,0.2407,0.4845,0.6444,,0.6667,0.4769,0.0871,0.061,0.008,0.0012,7358,0.396551724138,0.332075471698,0.349642004773,0.369397217929,0.225510923185,0.19943019943,0.230607966457,0.237214363439,3472,5500,26750,36250,14654,14646,18572,19206,19423,,,,,,12900,34919,87130,93300
5,Alabama State University,1,5,17,14,0.9799,15,25,18827,0.2843,0.1014,0.3638,0.2844,0.4286,,0,0.2644,0.9259,0.0129,0.0017,0.0014,3495,0.21768707483,0.210592686003,0.236633663366,0.24620303757,0.371784879189,0.4375,0.409937888199,0.388189738625,3500,5784,32263,45000,12877,14170,13992,20568,21938,,,,,,7100,19393,49594,55400
6,The University of Alabama,1,5,15,16,0.789,5,15,41221,0.7223,0.5264,0.1882,0.5663,0.661,0.625,0.6207,0.5455,0.105,0.0549,0.0037,0.0008,30725,0.525447042641,0.480234260615,0.523562023562,0.576646590247,0.123743842365,0.204137931034,0.178358208955,0.143507175359,4500,7439,27000,34000,18338,20121,21957,23830,24948,,,,,,13100,36676,83834,85000
7,Athens State University,1,5,22,9,,0,5,12898,,,,,,,,,0.1243,0.0426,0.0131,0.0004,2511,0.468421052632,0.483870967742,0.51598173516,0.534482758621,0.220140515222,0.246231155779,0.27033492823,0.221418234443,3500,6341,25000,34231,,,,,,,,,,,12600,30839,65282,74000
8,Auburn University at Montgomery,1,5,18,13,0.968,5,10,10022,0.3569,0.1272,0.341,0.3287,0.25,0,0.4,0.3077,0.4487,0.0131,0.004,0.0011,3742,0.362962962963,0.239208633094,0.276018099548,0.279424977538,0.234899328859,0.226086956522,0.243664717349,0.245569620253,2750,5500,23500,37250,12565,13773,15661,17249,15387,,,,,,9500,25792,62647,66300
9,Auburn University,1,5,15,15,0.7118,5,10,38339,0.8088,0.552,0.1297,0.6898,0.7647,1,0.7917,0.6624,0.0461,0.0382,0.0027,0.0005,24782,0.617328519856,0.601876675603,0.613405551794,0.664,0.110926602458,0.178343949045,0.161162483487,0.131284916201,4500,7500,26000,33474,16701,19313,22379,24989,26836,,,,,,13800,40194,89774,91400
10,Birmingham-Southern College,1,5,21,11,0.6591,10,20,33417,0.6984,0.6485,0.2472,0.5818,0.6,,0.5,0.5652,0.1603,0.0573,0.0038,0,1048,,0.574074074074,0.609375,0.662962962963,0.150485436893,,0.245614035088,0.1875,4750,7500,27000,32524,,,,,,17500,17302,17602,21925,23073,9800,34356,87971,77600
11,Faulkner University,1,5,18,10,0.646,5,10,11187,0.1851,0.1191,0.121,0.1293,0,0.3333,,0.1243,0.4133,0.0318,0.0018,0.0029,1696,0.423228346457,0.297830374753,0.345991561181,0.354166666667,0.304740406321,0.309297912713,0.365306122449,0.324965132497,3000,5500,25730,37028,,,,,,19051,19477,19901,22116,22580,9800,23444,60221,80700
12,Herzing University-Birmingham,1,5,26,6,0.9385,0,5,9358,0.3913,,0,0.4,0,,,0.2143,0.6151,0.0263,0.0016,0.0016,608,0.332840673958,0.287412587413,0.32759609868,0.338302172815,0.311437626044,0.322291235335,0.338543809132,0.318826244642,2466,4750,23024,34866,,,,,,27308,25625,,,,12300,18302,51486,77200
13,Huntingdon College,1,5,22,8,0.693,20,25,23360,0.4422,0.3347,0,0.4545,0.3125,,1,0.4417,0.2017,0.0632,0.0048,0,838,0.691176470588,0.5,0.45643153527,0.515060240964,0.173184357542,0.154929577465,0.231884057971,0.182481751825,3500,6500,27168,35500,,,,,,19670,20339,24665,26257,24617,9100,33600,69840,73200
14,Heritage Christian University,1,5,24,6,,0,5,,0,0,0,,,,,,0.0563,0.0423,0,0,71,,,,,,,,,,,,,,,,,,,4856,,,,,,53055,
